Site,Sampling Location Description,Location Number,QR Code,Sample Label,Date,CalendarYear,Season,WaterYear,WaterSeason,Lake/Dayton,SRP mg P/L,N0x mg N/L,Urea mg N/L,NH4 mg N/L,TN mg N/L,TP mg P/L,Water Depth (cm),Temp (°C),pH,DO mgL,DO (%Sat),Conductivity (µS/cm),Turbidity (FNU),Notes,Is the data in Survey123?,NOx/SRP Analysis Date,TN/TP Analysis Date,NH4+ Analysis Date,Urea Analysis Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W03343,101524_SPC_7,10/15/2024,2024,Fall,2025,Fall,Lake,0.408,0.448,,0.057,1.285,0.401,38,13,8.29,10.12,96.4,791,9.37,,,12/4/2024,12/12/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - South Pool (Near GMR Connector),DUPE,W03342,101524_SPC_DUPE,10/15/2024,2024,Fall,2025,Fall,Lake,0.007,0.02,,0.158,1.094,0.104,22,14.6,8.2,11.17,110,450,4.59,FIELD DUPLICATE OF South Pool (Near GMR Connector),,12/4/2024,12/12/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W03347,111224_SPC_2,11/12/2024,2024,Fall,2025,Fall,Lake,0.01,0.02,,0.0923,0.904,0.059,36,11.1,8.85,14.99,136.5,485.4,25.38,,,12/4/2024,12/11/2024,12/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W03364,111224_SPC_4,11/12/2024,2024,Fall,2025,Fall,Lake,0.005,0.02,,0.0274,0.804,0.022,32,11.2,8.2,11.17,102,554,43.15,,,12/4/2024,12/11/2024,12/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W03367,111224_SPC_5,11/12/2024,2024,Fall,2025,Fall,Lake,0.181,0.275,,0.0567,1.214,0.237,27,11.8,8.28,10.81,100.1,837,6.74,,,12/4/2024,12/11/2024,12/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W03340,111224_SPC_6,11/12/2024,2024,Fall,2025,Fall,Lake,0.157,0.257,,0.0788,1.788,0.212,35,11.3,8.4,11.42,104.6,834,1.96,,,12/4/2024,12/11/2024,12/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W03452,111224_SPC_7,11/12/2024,2024,Fall,2025,Fall,Lake,0.318,0.442,,0.0555,1.469,0.258,35,11.3,8.35,11.21,102.5,839,2.63,,,12/4/2024,12/11/2024,12/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Great Miami River (Wetland inflow),DUPE,W03455,111224_SPC_DUPE,11/12/2024,2024,Fall,2025,Fall,Lake,0.681,0.441,,0.1244,1.543,0.254,27,11.9,8.29,10.78,100.4,821,16.11,FIELD DUPLICATE OF GREAT MIAMI RIVER DOWNSTREAM,,12/4/2024,12/11/2024,12/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W03483,121024_SPC_2,12/10/2024,2024,Fall,2025,Fall,Lake,0.003,1.239,,0.0545,1.672,0.013,39,4.6,8.38,17.25,134.4,484.7,6.72,,,1/14/2025,TP 12/12/24 TN 12/17/24,1/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W03487,121024_SPC_4,12/10/2024,2024,Fall,2025,Fall,Lake,0.004,0.107,,0.0156,0.684,0.01,20,8,8.06,12.91,109.3,556,1.6,,,1/14/2025,TP 12/12/24 TN 12/17/24,1/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W03482,121024_SPC_5,12/10/2024,2024,Fall,2025,Fall,Lake,0.063,1.114,,0.0143,1.836,0.085,,6.4,8.24,11.74,95.9,463.4,3.52,,,1/14/2025,TP 12/12/24 TN 12/17/24,1/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W03495,121024_SPC_6,12/10/2024,2024,Fall,2025,Fall,Lake,0.065,1.231,,0.0333,2.645,0.102,40,6,8.31,12.46,101.5,911,2.58,,,1/14/2025,TP 12/12/24 TN 12/17/24,1/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W03492,121024_SPC_7,12/10/2024,2024,Fall,2025,Fall,Lake,0.05,1.229,,0.0217,2.255,0.091,40,5.8,8.39,12.15,97.6,961,3.34,,,1/14/2025,TP 12/12/24 TN 12/17/24,1/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Great Miami River (Wetland inflow),DUPE,W03473,121024_SPC_DUPE,12/10/2024,2024,Fall,2025,Fall,Lake,0.065,1.158,,0.0167,2.611,0.099,,6.7,8.28,11.81,97,484.7,7.88,FIELD DUPLICATE OF GREAT MIAMI RIVER DOWNSTREAM,,1/14/2025,TP 12/12/24 TN 12/17/24,1/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
